original,translated,
zusammenbrechen,averiarse,
Arbeitszeiten erfassen,registrar las horas de trabajo,
"kündigen, entlassen, feuern",despedir (x3),
etw kündigen,rescindir un contrato,
beitreten,hacerse miembro,
austreten aus,salir de (una organización),
Behördengang erledigen,realizar un trámite administrativo,
verschütten,derramar,
Zehen,dedos del pie,
abschalten,desconectar (mente),
entfliehen,huir (de una situación),
fliehen,huir (físicamente),
abgewinnen,sacar algo positivo de algo negativo,
meistern,dominar,
schief,torcido,
ablaufen,caducar,
routiniert,experimentado,
verantwortlich für,responsable de,
verantwortungsbewusst,consciente de su responsabilidad,
verantwortungslos,irresponsable,
"Monotonie, Eintönigkeit",monotonía (x2),
Abwechslung,variedad,
"gewöhnlich, normalerweise",normalmente (x2),
ungewohnt,desacostumbrado,
sich scheiden lassen,divorciarse,
Untreue,infidelidad,
einvernehmlich,de mutuo acuerdo,einvernehmlich scheiden
zeitig,temprano,zeitig aufstanden
Höflichkeitsfloskel,frase de cortesía,
gähnen,bostezar,
Zeitgeist,espíritu de la época,Harry Poter hat den Zeitgeist getroffen
"zeitweise, machmal",a veces,
Zeitverschwendung,pérdida de tiempo,
Zeitdruck,presión de tiempo,
zeitraubend,que roba tiempo,
rauben,robar,
zeitaufwendig,que toma tiempo,
"zeitgemäß, aktuell",actual (x2),
Zeitunterschied,diferencia horaria,
zeitgleich,simultáneo,
Zeitraum,período,
zeitsparend,que ahorra tiempo,
zeitlos,atemporal,
"Zeitalter, Ära",era,
Gedächtnis,memoria,
"unheimlich, schrecklich, furchtbar",terrorífico (x3),
grundsätzlich,fundamentalmente,
entschleunigen,desacelerar,
Wandel,cambio,
Stau,atasco,
sich ablenken,distraerse,
vermeiden,evitar,
unheimlich (+ adj),muy,
beschleunigen,acelerar,
Vorsitzende,presidente,
Wirkung,efecto,
ehrenamtlich,voluntario,
gestalten,estructurar,
Vereinsgeist,espíritu de equipo,
Vereinsmeierei,obsesión por los clubes,
leiten,dirigir,
mitwirken,colaborar,
Speisepilz,hongo comestible,
"Schwammerl, Pilz",seta (x2),
überreden,convencer,
basteln,hacer manualidades,
entsperren,desbloquear,
klammheimlich,en secreto,
zocken,jugar (especialmente apostar o videojuegos),
Klickgarant,contenido trendy en internet,
sperren,bloquear,
aufpassen auf,tener cuidado con,
die Sucht,la adicción,
süchtig,adicto,
Verbreitung,propagación,
Auswirkung,consecuencia,
Besitzer,propietario,
voreilig,precipitado,
sich aufhalten,permanecer,
scheitern,fracasar,
gesamt,completo,
entstehen,instaurarse,
die Stufe,etapa,
Vorstufe,fase previa,
mehrfach,varias veces,
sich schämen,avergonzarse,
übermäßig,excesivo,
Langzeitfolgen,consecuencias a largo plazo,
gesellschaftlich,social,
ständig,constantemente,
zerstreuen (x2),"disipar, dispersar",soll Zweifel zerstreuen
Umgebung,entorno,
achtsam (x2),"consciente, mindful",
wegbrechen,derrumbarse,
aufzeichnen,anotar,
der Umgang,"trato, manejo",
bisherig,hasta ahora (adjetivo),
tragbar,portátil,
Aufmerksamkeit,atención,
zunehmend,en aumento,
verhindern,impedir,
unterbrechen,interrumpir,
vergangen,pasado,
umkehren,"dar la vuelta, invertir",
widerstehen,resistir,
umgehen,"tratar, evitar",
überdenken,reconsiderar,
durchfallen bei einer Prüfung,suspender un examen,
eine Prüfung bestehen/schaffen,aprobar un examen (x2),
rasen,"ir a toda velocidad (tiempo, auto)",
mit der Zeit gehen,estar actualizado,
die Zeit totschlagen,matar el tiempo,
"sich Zeit nehmen, Zeit lassen",tomarse el tiempo,
